Team1,Score,Team2,Competition,Map,Date,Page,Team 1 Score,Team 2 Score,Winning Team,Losing Team,Margin,Total Rounds,Game Type
NiP,16-1 ,BIG,ESLProLeagueSeason10Europe,Train,,0,16,1,NiP,BIG,15,17,16
NiP,19-16,BIG,ESLProLeagueSeason10Europe,Nuke,,0,19,16,NiP,BIG,3,35,19
North,7-16 ,BIG,ESLProLeagueSeason10Europe,Mirage,,0,7,16,BIG,North,9,23,16
North,16-14,BIG,ESLProLeagueSeason10Europe,Train,,0,16,14,North,BIG,2,30,16
North,25-21,BIG,ESLProLeagueSeason10Europe,Nuke,,0,25,21,North,BIG,4,46,25
ATK,16-14,Envy,ESLProLeagueSeason10Americas,Overpass,,0,16,14,ATK,Envy,2,30,16
ATK,16-14,Envy,ESLProLeagueSeason10Americas,Nuke,,0,16,14,ATK,Envy,2,30,16
Singularity,16-12,DETONA,ESLProLeagueSeason10Americas,Overpass,,0,16,12,Singularity,DETONA,4,28,16
Singularity,10-16,DETONA,ESLProLeagueSeason10Americas,Dust2,,0,10,16,DETONA,Singularity,6,26,16
Singularity,19-17,DETONA,ESLProLeagueSeason10Americas,Train,,0,19,17,Singularity,DETONA,2,36,19
HelsinkiREDS,19-17,PACT,QiBanjaLuka2019EuropeQualifier,Dust2,2019-11-14,0,19,17,HelsinkiREDS,PACT,2,36,19
HelsinkiREDS,11-16,PACT,QiBanjaLuka2019EuropeQualifier,Nuke,2019-11-14,0,11,16,PACT,HelsinkiREDS,5,27,16
HelsinkiREDS,6-16 ,PACT,QiBanjaLuka2019EuropeQualifier,Inferno,2019-11-14,0,6,16,PACT,HelsinkiREDS,10,22,16
NiP,16-1 ,BIG,ESLProLeagueSeason10Europe,Train,2019-11-14,0,16,1,NiP,BIG,15,17,16
NiP,19-16,BIG,ESLProLeagueSeason10Europe,Nuke,2019-11-14,0,19,16,NiP,BIG,3,35,19
WislaKrakow,16-14,2115,LOOT.BETSeason5,Inferno,2019-11-14,0,16,14,WislaKrakow,2115,2,30,16
WislaKrakow,16-14,2115,LOOT.BETSeason5,Train,2019-11-14,0,16,14,WislaKrakow,2115,2,30,16
Nemiga,16-2 ,Phoenix,QiBanjaLuka2019EuropeQualifier,Overpass,2019-11-14,0,16,2,Nemiga,Phoenix,14,18,16
Nemiga,6-16 ,Phoenix,QiBanjaLuka2019EuropeQualifier,Dust2,2019-11-14,0,6,16,Phoenix,Nemiga,10,22,16
Nemiga,16-10,Phoenix,QiBanjaLuka2019EuropeQualifier,Inferno,2019-11-14,0,16,10,Nemiga,Phoenix,6,26,16
LucidDream,12-16,AlphaRed,ESLProLeagueSeason10Asia-Pacific,Inferno,2019-11-14,0,12,16,AlphaRed,LucidDream,4,28,16
LucidDream,11-16,AlphaRed,ESLProLeagueSeason10Asia-Pacific,Vertigo,2019-11-14,0,11,16,AlphaRed,LucidDream,5,27,16
HellRaisers,6-16 ,SJ,LOOT.BETSeason5,Nuke,2019-11-14,0,6,16,SJ,HellRaisers,10,22,16
HellRaisers,16-5 ,SJ,LOOT.BETSeason5,Mirage,2019-11-14,0,16,5,HellRaisers,SJ,11,21,16
HellRaisers,11-16,SJ,LOOT.BETSeason5,Inferno,2019-11-14,0,11,16,SJ,HellRaisers,5,27,16
HardLegion,16-11,Phoenix,QiBanjaLuka2019EuropeQualifier,Mirage,2019-11-14,0,16,11,HardLegion,Phoenix,5,27,16
HardLegion,16-13,Phoenix,QiBanjaLuka2019EuropeQualifier,Overpass,2019-11-14,0,16,13,HardLegion,Phoenix,3,29,16
ViCi,16-7,Bren,eXTREMESLAND2019AsiaFinals,trn,2019-11-14,0,16,7,ViCi,Bren,9,23,16
Demise,10-16,BOOT,eXTREMESLAND2019AsiaFinals,d2,2019-11-14,0,10,16,BOOT,Demise,6,26,16
TYLOO,16-6 ,Invictus,ESLProLeagueSeason10Asia-Pacific,Train,2019-11-14,0,16,6,TYLOO,Invictus,10,22,16
TYLOO,16-14,Invictus,ESLProLeagueSeason10Asia-Pacific,Dust2,2019-11-14,0,16,14,TYLOO,Invictus,2,30,16
Entity,6-16,Bren,eXTREMESLAND2019AsiaFinals,trn,2019-11-14,0,6,16,Bren,Entity,10,22,16
ViCi,16-3,GTV.Revolution,eXTREMESLAND2019AsiaFinals,inf,2019-11-14,0,16,3,ViCi,GTV.Revolution,13,19,16
Demise,16-4,ENZO,eXTREMESLAND2019AsiaFinals,d2,2019-11-14,0,16,4,Demise,ENZO,12,20,16
GroundZero,9-16,BOOT,eXTREMESLAND2019AsiaFinals,d2,2019-11-14,0,9,16,BOOT,GroundZero,7,25,16
MVPPK,19-16,AUGUST,eXTREMESLAND2019AsiaFinals,inf,2019-11-14,0,19,16,MVPPK,AUGUST,3,35,19
ATK,16-14,Envy,ESLProLeagueSeason10Americas,Overpass,2019-11-14,0,16,14,ATK,Envy,2,30,16
ATK,16-14,Envy,ESLProLeagueSeason10Americas,Nuke,2019-11-14,0,16,14,ATK,Envy,2,30,16
TYLOO,16-1,Yalla,eXTREMESLAND2019AsiaFinals,trn,2019-11-14,0,16,1,TYLOO,Yalla,15,17,16
AlphaRed,9-16,AUGUST,eXTREMESLAND2019AsiaFinals,mrg,2019-11-14,0,9,16,AUGUST,AlphaRed,7,25,16
MVPPK,16-7,LaZe,eXTREMESLAND2019AsiaFinals,inf,2019-11-14,0,16,7,MVPPK,LaZe,9,23,16
Oceanus,12-16,ETHEREAL,ESEAAdvancedSeason32NorthAmerica,Inferno,2019-11-14,0,12,16,ETHEREAL,Oceanus,4,28,16
Oceanus,16-12,ETHEREAL,ESEAAdvancedSeason32NorthAmerica,Nuke,2019-11-14,0,16,12,Oceanus,ETHEREAL,4,28,16
Oceanus,22-18,ETHEREAL,ESEAAdvancedSeason32NorthAmerica,Mirage,2019-11-14,0,22,18,Oceanus,ETHEREAL,4,40,22
DEFY,16-11,Faint,ESEAAdvancedSeason32NorthAmerica,Dust2,2019-11-14,0,16,11,DEFY,Faint,5,27,16
DEFY,5-16 ,Faint,ESEAAdvancedSeason32NorthAmerica,Nuke,2019-11-14,0,5,16,Faint,DEFY,11,21,16
DEFY,7-16 ,Faint,ESEAAdvancedSeason32NorthAmerica,Vertigo,2019-11-14,0,7,16,Faint,DEFY,9,23,16
ThunderLogic,3-16 ,timbermen,ESEAAdvancedSeason32NorthAmerica,Train,2019-11-14,0,3,16,timbermen,ThunderLogic,13,19,16
ThunderLogic,16-14,timbermen,ESEAAdvancedSeason32NorthAmerica,Mirage,2019-11-14,0,16,14,ThunderLogic,timbermen,2,30,16
ThunderLogic,16-8 ,timbermen,ESEAAdvancedSeason32NorthAmerica,Dust2,2019-11-14,0,16,8,ThunderLogic,timbermen,8,24,16
Singularity,16-12,DETONA,ESLProLeagueSeason10Americas,Overpass,2019-11-14,0,16,12,Singularity,DETONA,4,28,16
Singularity,10-16,DETONA,ESLProLeagueSeason10Americas,Dust2,2019-11-14,0,10,16,DETONA,Singularity,6,26,16
Singularity,19-17,DETONA,ESLProLeagueSeason10Americas,Train,2019-11-14,0,19,17,Singularity,DETONA,2,36,19
absolutemadlads,13-16,Rebirth,ESEAAdvancedSeason32NorthAmerica,Nuke,2019-11-14,0,13,16,Rebirth,absolutemadlads,3,29,16
absolutemadlads,10-16,Rebirth,ESEAAdvancedSeason32NorthAmerica,Mirage,2019-11-14,0,10,16,Rebirth,absolutemadlads,6,26,16
Absolute,11-16,Yalla,eXTREMESLAND2019AsiaFinals,mrg,2019-11-14,0,11,16,Yalla,Absolute,5,27,16
