Team1,Score,Team2,Competition,Map
ViCi,1-2,ENCE,IEMBeijing2019,bo3
Astralis,2-0,100Thieves,IEMBeijing2019,bo3
Vitality,2-0,TYLOO,IEMBeijing2019,bo3
FaZe,2-0,EvilGeniuses,IEMBeijing2019,bo3
100Thieves,2-0,ENCE,IEMBeijing2019,bo3
Astralis,2-0,ViCi,IEMBeijing2019,bo3
AVANGAR,13-16,Tricked,ESEAMDLSeason32Europe,inf
MovistarRiders,7-16,pro100,ESEAMDLSeason32Europe,trn
Demise,12-16,CR4ZY,ESEAMDLSeason32Europe,inf
Spirit,16-10,Phoenix,ESEAMDLSeason32Europe,mrg
Tricked,22-20,Japaleno,ESEAMDLSeason32Europe,ovp
MovistarRiders,16-14,AGO,ESEAMDLSeason32Europe,inf
Spirit,16-14,AVANGAR,ESEAMDLSeason32Europe,mrg
PACT,7-16,Heretics,ESEAMDLSeason32Europe,nuke
Nemiga,16-8,Phoenix,ESEAMDLSeason32Europe,d2
Demise,6-16,pro100,ESEAMDLSeason32Europe,d2
AVANGAR,28-25,CR4ZY,ESEAMDLSeason32Europe,d2
AGO,16-11,Heretics,ESEAMDLSeason32Europe,vtg
GamerLegion,16-10,Heretics,ESEAMDLSeason32Europe,inf
Espada,4-16 ,Nemiga,SECTOR:MOSTBET,Nuke
Espada,11-16,Nemiga,SECTOR:MOSTBET,Dust2
Espada,11-16,Nemiga,SECTOR:MOSTBET,Dust2
CR4ZY,10-16,SMASH,UnitedMastersLeagueSeason2,Nuke
CR4ZY,7-16 ,SMASH,UnitedMastersLeagueSeason2,Inferno
CR4ZY,7-16 ,SMASH,UnitedMastersLeagueSeason2,Inferno
5POWER,0-1,LynnVision,EPICENTER2019ChinaQualifier,bo3
Chiefs,16-1 ,ORDER,ESEAMDLSeason32Australia,Mirage
Chiefs,16-3 ,ORDER,ESEAMDLSeason32Australia,Nuke
Chiefs,16-3 ,ORDER,ESEAMDLSeason32Australia,Nuke
PC419,1-0,catman,ESEAMDLSeason32Australia,bo3
Aster,6-16 ,EHOME,EPICENTER2019ChinaQualifier,Dust2
Aster,10-16,EHOME,EPICENTER2019ChinaQualifier,Mirage
Aster,10-16,EHOME,EPICENTER2019ChinaQualifier,Mirage
Genuine,16-9 ,SYF,ESEAMDLSeason32Australia,Train
Genuine,16-7 ,SYF,ESEAMDLSeason32Australia,Overpass
Genuine,16-7 ,SYF,ESEAMDLSeason32Australia,Overpass
Chiefs,16-8 ,PC419,ESEAMDLSeason32Australia,Dust2
Chiefs,16-14,PC419,ESEAMDLSeason32Australia,Mirage
Chiefs,16-14,PC419,ESEAMDLSeason32Australia,Mirage
D7G,5-16 ,EHOME,EPICENTER2019ChinaQualifier,Train
D7G,9-16 ,EHOME,EPICENTER2019ChinaQualifier,Mirage
D7G,9-16 ,EHOME,EPICENTER2019ChinaQualifier,Mirage
catman,0-1,ORDER,ESEAMDLSeason32Australia,bo3
Genuine,1-0,Grayhound,ESEAMDLSeason32Australia,bo3
GroundZero,0-1,SYF,ESEAMDLSeason32Australia,bo3
5POWER,16-3 ,OneThree,QiBanjaLuka2019-AsiaQualifier,Inferno
5POWER,16-10,OneThree,QiBanjaLuka2019-AsiaQualifier,Dust2
5POWER,16-10,OneThree,QiBanjaLuka2019-AsiaQualifier,Dust2
Invictus,16-4 ,MiTH.Maple,QiBanjaLuka2019-AsiaQualifier,Overpass
Invictus,16-9 ,MiTH.Maple,QiBanjaLuka2019-AsiaQualifier,Train
Invictus,16-9 ,MiTH.Maple,QiBanjaLuka2019-AsiaQualifier,Train
BushidoBoyz,4-16,LiviD,ESEAMDLSeason32NorthAmerica,ovp
Mythic,10-16,RiotSquad,ESEAMDLSeason32NorthAmerica,trn
Peeker'sAdvantage,16-7,JustSwing,ESEAMDLSeason32NorthAmerica,ovp
RapGang,7-16,BigFrames,ESEAMDLSeason32NorthAmerica,ovp
Peeker'sAdvantage,13-16,LiviD,ESEAMDLSeason32NorthAmerica,mrg
Ben'sAnimeTeam,16-10,INTZ,ESEAMDLSeason32NorthAmerica,mrg
Monstars,10-16,Ascent,ESEAMDLSeason32NorthAmerica,inf
TheQuest,16-4,JustSwing,ESEAMDLSeason32NorthAmerica,ovp
INTZ,16-9,RiotSquad,ESEAMDLSeason32NorthAmerica,trn
Peeker'sAdvantage,6-16,RapGang,ESEAMDLSeason32NorthAmerica,mrg
FATE,16-8 ,MovistarRiders,OMENAtlanticChallenge2019EuropeClosedQualifier,Mirage
FATE,14-16,MovistarRiders,OMENAtlanticChallenge2019EuropeClosedQualifier,Vertigo
FATE,16-13,MovistarRiders,OMENAtlanticChallenge2019EuropeClosedQualifier,Inferno
FATE,16-13,MovistarRiders,OMENAtlanticChallenge2019EuropeClosedQualifier,Inferno
BIG,16-12,Virtus.pro,UnitedMastersLeagueSeason2,Nuke
BIG,25-21,Virtus.pro,UnitedMastersLeagueSeason2,Overpass
BIG,25-21,Virtus.pro,UnitedMastersLeagueSeason2,Overpass
HardLegion,16-9 ,Giants,UnitedMastersLeagueSeason2,Overpass
HardLegion,4-16 ,Giants,UnitedMastersLeagueSeason2,Vertigo
HardLegion,13-16,Giants,UnitedMastersLeagueSeason2,Dust2
HardLegion,13-16,Giants,UnitedMastersLeagueSeason2,Dust2
Baecon,12-16,LDLC,OMENAtlanticChallenge2019EuropeClosedQualifier,Dust2
Baecon,5-16 ,LDLC,OMENAtlanticChallenge2019EuropeClosedQualifier,Nuke
Baecon,5-16 ,LDLC,OMENAtlanticChallenge2019EuropeClosedQualifier,Nuke
Heretics,10-16,Phoenix,ESEAMDLSeason32Europe,d2
